"fips","MSA","year","population"
"F-01001","MONTGOMERY, AL",2000,43671
"F-01001","MONTGOMERY, AL",2010,54571
"F-01003","MOBILE, AL",2000,140415
"F-01003","MOBILE, AL",2010,182265
"F-01005","RURAL",2000,29038
"F-01005","RURAL",2010,27457
"F-01007","RURAL",2010,22915
"F-01007","RURAL",2000,20826
"F-01009","BIRMINGHAM, AL",2000,51024
"F-01009","BIRMINGHAM, AL",2010,57322
"F-01011","RURAL",2000,11714
"F-01011","RURAL",2010,10914
"F-01013","RURAL",2010,20947
"F-01013","RURAL",2000,21399
"F-01015","ANNISTON, AL",2000,112249
"F-01015","ANNISTON, AL",2010,118572
"F-01017","RURAL",2010,34215
"F-01017","RURAL",2000,36583
"F-01019","RURAL",2010,25989
"F-01019","RURAL",2000,23988
"F-01021","RURAL",2000,39593
"F-01021","RURAL",2010,43643
"F-01023","RURAL",2000,15922
"F-01023","RURAL",2010,13859
"F-01025","RURAL",2010,25833
"F-01025","RURAL",2000,27867
"F-01027","RURAL",2000,14254
"F-01027","RURAL",2010,13932
"F-01029","RURAL",2000,14123
"F-01029","RURAL",2010,14972
"F-01031","RURAL",2010,49948
"F-01031","RURAL",2000,43615
"F-01033","FLORENCE, AL",2000,54984
"F-01033","FLORENCE, AL",2010,54428
"F-01035","RURAL",2000,14089
"F-01035","RURAL",2010,13228
"F-01037","RURAL",2000,12202
"F-01037","RURAL",2010,11539
"F-01039","RURAL",2010,37765
"F-01039","RURAL",2000,37631
"F-01041","RURAL",2010,13906
"F-01041","RURAL",2000,13665
"F-01043","RURAL",2010,80406
"F-01043","RURAL",2000,77483
"F-01045","DOTHAN, AL",2000,49129
"F-01045","DOTHAN, AL",2010,50251
"F-01047","RURAL",2010,43820
"F-01047","RURAL",2000,46365
"F-01049","RURAL",2000,64452
"F-01049","RURAL",2010,71109
"F-01051","MONTGOMERY, AL",2010,79303
"F-01051","MONTGOMERY, AL",2000,65874
"F-01053","RURAL",2000,38440
"F-01053","RURAL",2010,38319
"F-01055","GADSDEN, AL",2000,103459
"F-01055","GADSDEN, AL",2010,104430
"F-01057","RURAL",2000,18495
"F-01057","RURAL",2010,17241
"F-01059","RURAL",2010,31704
"F-01059","RURAL",2000,31223
"F-01061","RURAL",2010,26790
"F-01061","RURAL",2000,25764
"F-01063","RURAL",2000,9974
"F-01063","RURAL",2010,9045
"F-01065","RURAL",2010,15760
"F-01065","RURAL",2000,17185
"F-01067","RURAL",2000,16310
"F-01067","RURAL",2010,17302
"F-01069","DOTHAN, AL",2010,101547
"F-01069","DOTHAN, AL",2000,88787
"F-01071","RURAL",2010,53227
"F-01071","RURAL",2000,53926
"F-01073","BIRMINGHAM, AL",2010,658466
"F-01073","BIRMINGHAM, AL",2000,662047
"F-01075","RURAL",2010,14564
"F-01075","RURAL",2000,15904
"F-01077","FLORENCE, AL",2000,87966
"F-01077","FLORENCE, AL",2010,92709
"F-01079","DECATUR, AL",2000,34803
"F-01079","DECATUR, AL",2010,34339
"F-01081","RURAL",2010,140247
"F-01081","RURAL",2000,115092
"F-01083","HUNTSVILLE, AL",2000,65676
"F-01083","HUNTSVILLE, AL",2010,82782
"F-01085","RURAL",2010,11299
"F-01085","RURAL",2000,13473
"F-01087","RURAL",2000,24105
"F-01087","RURAL",2010,21452
"F-01089","HUNTSVILLE, AL",2010,334811
"F-01089","HUNTSVILLE, AL",2000,276700
"F-01091","RURAL",2000,22539
"F-01091","RURAL",2010,21027
"F-01093","RURAL",2010,30776
"F-01093","RURAL",2000,31214
"F-01095","RURAL",2000,82231
"F-01095","RURAL",2010,93019
"F-01097","MOBILE, AL",2000,399843
"F-01097","MOBILE, AL",2010,412992
"F-01099","RURAL",2010,23068
"F-01099","RURAL",2000,24324
"F-01101","MONTGOMERY, AL",2000,223510
"F-01101","MONTGOMERY, AL",2010,229363
"F-01103","DECATUR, AL",2000,111064
"F-01103","DECATUR, AL",2010,119490
"F-01105","RURAL",2000,11861
"F-01105","RURAL",2010,10591
"F-01107","RURAL",2010,19746
"F-01107","RURAL",2000,20949
"F-01109","RURAL",2000,29605
"F-01109","RURAL",2010,32899
"F-01111","RURAL",2010,22913
"F-01111","RURAL",2000,22380
"F-01113","COLUMBUS, GA",2000,49756
"F-01113","COLUMBUS, GA",2010,52947
"F-01115","BIRMINGHAM, AL",2010,83593
"F-01115","BIRMINGHAM, AL",2000,64742
"F-01117","BIRMINGHAM, AL",2010,195085
"F-01117","BIRMINGHAM, AL",2000,143293
"F-01119","RURAL",2010,13763
"F-01119","RURAL",2000,14798
"F-01121","RURAL",2010,82291
"F-01121","RURAL",2000,80321
"F-01123","RURAL",2000,41475
"F-01123","RURAL",2010,41616
"F-01125","TUSCALOOSA, AL",2010,194656
"F-01125","TUSCALOOSA, AL",2000,164875
"F-01127","RURAL",2010,67023
"F-01127","RURAL",2000,70713
"F-01129","RURAL",2000,18097
"F-01129","RURAL",2010,17581
"F-01131","RURAL",2000,13183
"F-01131","RURAL",2010,11670
"F-01133","RURAL",2000,24843
"F-01133","RURAL",2010,24484
"F-02013","RURAL",2000,2697
"F-02013","RURAL",2010,3141
"F-02016","RURAL",2010,5561
"F-02016","RURAL",2000,5465
"F-02020","ANCHORAGE, AK",2010,291826
"F-02020","ANCHORAGE, AK",2000,260283
"F-02050","RURAL",2000,16006
"F-02050","RURAL",2010,17013
"F-02060","RURAL",2010,997
"F-02060","RURAL",2000,1258
"F-02068","RURAL",2010,1826
"F-02068","RURAL",2000,1893
"F-02070","RURAL",2000,4922
"F-02070","RURAL",2010,4847
"F-02090","RURAL",2000,82840
"F-02090","RURAL",2010,97581
"F-02100","RURAL",2010,2508
"F-02100","RURAL",2000,2392
"F-02105",NA,2010,2150
"F-02110","RURAL",2000,30711
"F-02110","RURAL",2010,31275
"F-02122","RURAL",2010,55400
"F-02122","RURAL",2000,49691
"F-02130","RURAL",2010,13477
"F-02130","RURAL",2000,14070
"F-02150","RURAL",2000,13913
"F-02150","RURAL",2010,13592
"F-02164","RURAL",2000,1823
"F-02164","RURAL",2010,1631
"F-02170","RURAL",2000,59322
"F-02170","RURAL",2010,88995
"F-02180","RURAL",2000,9196
"F-02180","RURAL",2010,9492
"F-02185","RURAL",2010,9430
"F-02185","RURAL",2000,7385
"F-02188","RURAL",2000,7208
"F-02188","RURAL",2010,7523
"F-02195",NA,2010,3815
"F-02198",NA,2010,5559
"F-02201","RURAL",2000,6146
"F-02220","RURAL",2010,8881
"F-02220","RURAL",2000,8835
"F-02230",NA,2010,968
"F-02232","RURAL",2000,3436
"F-02240","RURAL",2010,7029
"F-02240","RURAL",2000,6174
"F-02261","RURAL",2010,9636
"F-02261","RURAL",2000,10195
"F-02270","RURAL",2010,7459
"F-02270","RURAL",2000,7028
"F-02275",NA,2010,2369
"F-02280","RURAL",2000,6684
"F-02282","RURAL",2010,662
"F-02282","RURAL",2000,808
"F-02290","RURAL",2010,5588
