"MSA","FIPS"
"MONTGOMERY, AL","01001"
"MOBILE, AL","01003"
"RURAL","01005"
"RURAL","01007"
"BIRMINGHAM, AL","01009"
"RURAL","01011"
"RURAL","01013"
"ANNISTON, AL","01015"
"RURAL","01017"
"RURAL","01019"
"RURAL","01021"
"RURAL","01023"
"RURAL","01025"
"RURAL","01027"
"RURAL","01029"
"RURAL","01031"
"FLORENCE, AL","01033"
"RURAL","01035"
"RURAL","01037"
"RURAL","01039"
"RURAL","01041"
"RURAL","01043"
"DOTHAN, AL","01045"
"RURAL","01047"
"RURAL","01049"
"MONTGOMERY, AL","01051"
"RURAL","01053"
"GADSDEN, AL","01055"
"RURAL","01057"
"RURAL","01059"
"RURAL","01061"
"RURAL","01063"
"RURAL","01065"
"RURAL","01067"
"DOTHAN, AL","01069"
"RURAL","01071"
"BIRMINGHAM, AL","01073"
"RURAL","01075"
"FLORENCE, AL","01077"
"DECATUR, AL","01079"
"RURAL","01081"
"HUNTSVILLE, AL","01083"
"RURAL","01085"
"RURAL","01087"
"HUNTSVILLE, AL","01089"
"RURAL","01091"
"RURAL","01093"
"RURAL","01095"
"MOBILE, AL","01097"
"RURAL","01099"
"MONTGOMERY, AL","01101"
"DECATUR, AL","01103"
"RURAL","01105"
"RURAL","01107"
"RURAL","01109"
"RURAL","01111"
"COLUMBUS, GA","01113"
"BIRMINGHAM, AL","01115"
"BIRMINGHAM, AL","01117"
"RURAL","01119"
"RURAL","01121"
"RURAL","01123"
"TUSCALOOSA, AL","01125"
"RURAL","01127"
"RURAL","01129"
"RURAL","01131"
"RURAL","01133"
"RURAL","02013"
"RURAL","02016"
"ANCHORAGE, AK","02020"
"RURAL","02050"
"RURAL","02060"
"RURAL","02068"
"RURAL","02070"
"RURAL","02090"
"RURAL","02100"
"RURAL","02110"
"RURAL","02122"
"RURAL","02130"
"RURAL","02150"
"RURAL","02164"
"RURAL","02170"
"RURAL","02180"
"RURAL","02185"
"RURAL","02188"
"RURAL","02201"
"RURAL","02220"
"RURAL","02232"
"RURAL","02240"
"RURAL","02261"
"RURAL","02270"
"RURAL","02280"
"RURAL","02282"
"RURAL","02290"
"RURAL","04001"
"RURAL","04003"
"FLAGSTAFF, AZ","04005"
"RURAL","04007"
"RURAL","04009"
"RURAL","04011"
"RURAL","04012"
"PHOENIX, AZ","04013"
"LAS VEGAS, NV","04015"
"RURAL","04017"
"TUCSON, AZ","04019"
"PHOENIX, AZ","04021"
"RURAL","04023"
"RURAL","04025"
"YUMA, AZ","04027"
"RURAL","05001"
"RURAL","05003"
"RURAL","05005"
"FAYETTEVILLE, AR","05007"
"RURAL","05009"
"RURAL","05011"
"RURAL","05013"
"RURAL","05015"
"RURAL","05017"
"RURAL","05019"
"RURAL","05021"
"RURAL","05023"
"RURAL","05025"
"RURAL","05027"
"RURAL","05029"
"JONESBORO, AR","05031"
"FORT SMITH, AR","05033"
"MEMPHIS, TN","05035"
"RURAL","05037"
"RURAL","05039"
"RURAL","05041"
"RURAL","05043"
"LITTLE ROCK, AR","05045"
"RURAL","05047"
"RURAL","05049"
"RURAL","05051"
"RURAL","05053"
"RURAL","05055"
"RURAL","05057"
"RURAL","05059"
"RURAL","05061"
"RURAL","05063"
"RURAL","05065"
"RURAL","05067"
"PINE BLUFF, AR","05069"
"RURAL","05071"
"RURAL","05073"
"RURAL","05075"
"RURAL","05077"
"RURAL","05079"
"RURAL","05081"
"RURAL","05083"
"LITTLE ROCK, AR","05085"
"RURAL","05087"
"RURAL","05089"
"TEXARKANA, TX","05091"
"RURAL","05093"
"RURAL","05095"
"RURAL","05097"
"RURAL","05099"
"RURAL","05101"
"RURAL","05103"
"RURAL","05105"
"RURAL","05107"
"RURAL","05109"
"RURAL","05111"
"RURAL","05113"
"RURAL","05115"
"RURAL","05117"
"LITTLE ROCK, AR","05119"
"RURAL","05121"
"RURAL","05123"
"LITTLE ROCK, AR","05125"
"RURAL","05127"
"RURAL","05129"
"FORT SMITH, AR","05131"
"RURAL","05133"
"RURAL","05135"
"RURAL","05137"
"RURAL","05139"
"RURAL","05141"
"FAYETTEVILLE, AR","05143"
"RURAL","05145"
"RURAL","05147"
"RURAL","05149"
"SAN FRANCISCO, CA","06001"
"RURAL","06003"
"RURAL","06005"
"CHICO, CA","06007"
"RURAL","06009"
"RURAL","06011"
"SAN FRANCISCO, CA","06013"
"RURAL","06015"
"SACRAMENTO, CA","06017"
"FRESNO, CA","06019"
"RURAL","06021"
"RURAL","06023"
"RURAL","06025"
"RURAL","06027"
"BAKERSFIELD, CA","06029"
"RURAL","06031"
"RURAL","06033"
"RURAL","06035"
"LOS ANGELES, CA","06037"
"FRESNO, CA","06039"
"SAN FRANCISCO, CA","06041"
"RURAL","06043"
"RURAL","06045"
"MERCED, CA","06047"
"RURAL","06049"
"RURAL","06051"
"SALINAS, CA","06053"
"SAN FRANCISCO, CA","06055"
"RURAL","06057"
"LOS ANGELES, CA","06059"
"SACRAMENTO, CA","06061"
"RURAL","06063"
"LOS ANGELES, CA","06065"
"SACRAMENTO, CA","06067"
"RURAL","06069"
"LOS ANGELES, CA","06071"
"SAN DIEGO, CA","06073"
"SAN FRANCISCO, CA","06075"
"STOCKTON, CA","06077"
"SN LUIS OBISP, CA","06079"
"SAN FRANCISCO, CA","06081"
"SANTA BARBARA, CA","06083"
"SAN FRANCISCO, CA","06085"
"SAN FRANCISCO, CA","06087"
"REDDING, CA","06089"
"RURAL","06091"
"RURAL","06093"
"SAN FRANCISCO, CA","06095"
"SAN FRANCISCO, CA","06097"
"MODESTO, CA","06099"
"YUBA CITY, CA","06101"
"RURAL","06103"
"RURAL","06105"
"VISALIA, CA","06107"
"RURAL","06109"
"LOS ANGELES, CA","06111"
"SACRAMENTO, CA","06113"
"YUBA CITY, CA","06115"
"DENVER, CO","08001"
"RURAL","08003"
"DENVER, CO","08005"
"RURAL","08007"
"RURAL","08009"
"RURAL","08011"
"DENVER, CO","08013"
"DENVER, CO","08014"
"RURAL","08015"
"RURAL","08017"
"RURAL","08019"
"RURAL","08021"
"RURAL","08023"
"RURAL","08025"
"RURAL","08027"
"RURAL","08029"
"DENVER, CO","08031"
"RURAL","08033"
"DENVER, CO","08035"
"RURAL","08037"
"RURAL","08039"
"COLORADO SPGS, CO","08041"
"RURAL","08043"
"RURAL","08045"
"RURAL","08047"
"RURAL","08049"
"RURAL","08051"
"RURAL","08053"
"RURAL","08055"
"RURAL","08057"
"DENVER, CO","08059"
"RURAL","08061"
"RURAL","08063"
"RURAL","08065"
"RURAL","08067"
"FORT COLLINS, CO","08069"
"RURAL","08071"
"RURAL","08073"
"RURAL","08075"
"GRAND JCT, CO","08077"
"RURAL","08079"
"RURAL","08081"
"RURAL","08083"
"RURAL","08085"
"RURAL","08087"
"RURAL","08089"
"RURAL","08091"
"RURAL","08093"
"RURAL","08095"
"RURAL","08097"
"RURAL","08099"
"PUEBLO, CO","08101"
"RURAL","08103"
"RURAL","08105"
"RURAL","08107"
"RURAL","08109"
"RURAL","08111"
"RURAL","08113"
"RURAL","08115"
"RURAL","08117"
"RURAL","08119"
"RURAL","08121"
"DENVER, CO","08123"
"RURAL","08125"
"NEW YORK, NY","09001"
"HARTFORD, CT","09003"
"RURAL","09005"
"HARTFORD, CT","09007"
"NEW YORK, NY","09009"
"NEW LONDON, CT","09011"
"HARTFORD, CT","09013"
"RURAL","09015"
"DOVER, DE","10001"
"PHILADELPHIA, PA","10003"
"RURAL","10005"
"WASHINGTON, DC","11001"
"GAINESVILLE, FL","12001"
"RURAL","12003"
"PANAMA CITY, FL","12005"
"RURAL","12007"
"MELBOURNE, FL","12009"
"FT LAUDERDALE, FL","12011"
"RURAL","12013"
"PUNTA GORDA, FL","12015"
"RURAL","12017"
"JACKSONVILLE, FL","12019"
"NAPLES, FL","12021"
"RURAL","12023"
"RURAL","12027"
"RURAL","12029"
"JACKSONVILLE, FL","12031"
"PENSACOLA, FL","12033"
"DAYTONA BEACH, FL","12035"
"RURAL","12037"
"TALLAHASSEE, FL","12039"
"RURAL","12041"
"RURAL","12043"
"RURAL","12045"
"RURAL","12047"
"RURAL","12049"
"RURAL","12051"
"TAMPA, FL","12053"
"RURAL","12055"
"TAMPA, FL","12057"
"RURAL","12059"
"RURAL","12061"
"RURAL","12063"
"RURAL","12065"
"RURAL","12067"
"ORLANDO, FL","12069"
"FORT MYERS, FL","12071"
"TALLAHASSEE, FL","12073"
"RURAL","12075"
"RURAL","12077"
"RURAL","12079"
"SARASOTA, FL","12081"
"OCALA, FL","12083"
"STUART, FL","12085"
"FT LAUDERDALE, FL","12086"
"RURAL","12087"
"JACKSONVILLE, FL","12089"
"FT WALTON BCH, FL","12091"
"RURAL","12093"
"ORLANDO, FL","12095"
"ORLANDO, FL","12097"
"WEST PALM BCH, FL","12099"
"TAMPA, FL","12101"
"TAMPA, FL","12103"
"LAKELAND, FL","12105"
"RURAL","12107"
"JACKSONVILLE, FL","12109"
"STUART, FL","12111"
"PENSACOLA, FL","12113"
"SARASOTA, FL","12115"
"ORLANDO, FL","12117"
"ORLANDO, FL","12119"
"RURAL","12121"
"RURAL","12123"
"RURAL","12125"
"DAYTONA BEACH, FL","12127"
"RURAL","12129"
"RURAL","12131"
"RURAL","12133"
"RURAL","13001"
"RURAL","13005"
"RURAL","13007"
"RURAL","13009"
